awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"V.Guaita,Djene,F.Molinero,Cala,D.Suarez,M.Bergara,A.Jimenez,G.Shibasaki,F.Fajr,Amath,J.Molina,E.Martinez,Antunes,B.Gonzalez,A.Rodriguez,F.Portillo,S.Mora,M.Arambarri","109222,421365,38064,112205,195335,102622,616529,262394,279173,737444,2983,268375,45244,268273,41292,193226,213826,625340",,,GET,Getafe,0,8305,"[{'id_team': 8305, 'id_jugador': 102622, 'min': 18, 'tarjeta': 'y'}, {'id_team': 8305, 'id_jugador': 616529, 'min': 41, 'tarjeta': 'y'}, {'id_team': 8305, 'id_jugador': 195335, 'min': 59, 'tarjeta': 'y'}, {'id_team': 8305, 'id_jugador': 38064, 'min': 63, 'tarjeta': 'y'}, {'id_team': 8305, 'id_jugador': 616529, 'min': 66, 'tarjeta': 'y2'}, {'id_team': 8315, 'id_jugador': 805352, 'min': 68, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-20 17:15,foulcommit,,"K.Arrizabalaga,A.Laporte,O.de Marcos,M.Balenziaga,U.Nunez,M.San Jose,B.Etxebarria,I.Muniain,M.Susaeta,R.Garcia,I.Williams,E.Boveda,I.Herrerin,I.Lekue,A.Aduriz,M.Vesga,A.Aketxe,I.Cordoba","317564,411617,181297,154938,805352,182224,45749,179772,96619,33871,604105,170341,261787,616544,33028,616545,441441,670030",,,BIL,Athletic Bilbao,0,8315,Spain Primera Division,2580541,"[{'home_pos_prom': 64.0, 'away_pos_prom': 36.0}]",2017/2018,shotoff,"[{'id_team': 8305, 'id_jugador': 102622, 'min': 9, 'tipo_disparo': 'big chance header'}, {'id_team': 8315, 'id_jugador': 616544, 'min': 19, 'tipo_disparo': 'shot'}, {'id_team': 8305, 'id_jugador': 112205, 'min': 28, 'tipo_disparo': 'blocked_header'}, {'id_team': 8315, 'id_jugador': 179772, 'min': 34, 'tipo_disparo': 'big chance shot'}, {'id_team': 8305, 'id_jugador': 112205, 'min': 60, 'tipo_disparo': 'big chance shot'}, {'id_team': 8315, 'id_jugador': 411617, 'min': 67, 'tipo_disparo': 'blocked_header'}, {'id_team': 8315, 'id_jugador': 616544, 'min': 72, 'tipo_disparo': 'blocked_shot'}]",1
"A.Fernandez,A.Gonzalez,R.Semedo,J.Costa,A.N'Diaye,P.Fornals,S.Castillejo,M.Trigueros,R.Hernandez,C. Bacca,C.Bakambu,V.Ruiz,E.Unal,N.Sansone,A.Rukavina,M.Barbosa,P.Torres,V.Moya","104986,257855,489013,160844,111801,683450,562062,268282,675088,166648,201939,182921,464486,195199,79737,38467,792645,866181",,,VIL,Villarreal,0,10205,"[{'id_team': 10205, 'id_jugador': 160844, 'min': 3, 'tarjeta': 'y'}, {'id_team': 8560, 'id_jugador': 607148, 'min': 16, 'tarjeta': 'y'}, {'id_team': 8560, 'id_jugador': 179083, 'min': 39, 'tarjeta': 'y'}, {'id_team': 10205, 'id_jugador': 268282, 'min': 68, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-25 19:15,foulcommit,"[{'id_team': 8560, 'min': 25, 'comment': 'n', 'id_player': 179083, 'type_goal': 'n'}, {'id_team': 8560, 'min': 34, 'comment': 'n', 'id_player': 33973, 'type_goal': 'n'}, {'id_team': 8560, 'min': 45, 'comment': 'n', 'id_player': 191873, 'type_goal': 'n'}]","G.Rulli,A.Elustondo,A.Odriozola,K.Rodrigues,R.Navas,A.Illarramendi,X.Prieto,D.Zurutuza,Juanmi,Willian Jose,M.Oyarzabal,D.Llorente,I.Agirretxe,C.Vela,Tono,S.Canales,A.De la Bella,A.Guevara","245555,607148,636570,319827,173965,205278,33973,99047,191873,179083,678234,420568,46289,75342,174925,150649,47565,873827",,,SOC,Real Sociedad,3,8560,Spain Primera Division,2580552,"[{'home_pos_prom': 60.9, 'away_pos_prom': 39.1}]",2017/2018,shotoff,"[{'id_team': 8560, 'id_jugador': 179083, 'min': 25, 'tipo_disparo': 'volley'}, {'id_team': 10205, 'id_jugador': 268282, 'min': 27, 'tipo_disparo': 'distance'}, {'id_team': 8560, 'id_jugador': 191873, 'min': 34, 'tipo_disparo': 'volley'}, {'id_team': 8560, 'id_jugador': 33973, 'min': 34, 'tipo_disparo': 'shot'}, {'id_team': 8560, 'id_jugador': 636570, 'min': 55, 'tipo_disparo': 'shot'}, {'id_team': 10205, 'id_jugador': 201939, 'min': 59, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10205, 'id_jugador': 268282, 'min': 60, 'tipo_disparo': 'volley'}, {'id_team': 8560, 'id_jugador': 678234, 'min': 69, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8560, 'id_jugador': 678234, 'min': 76, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10205, 'id_jugador': 562062, 'min': 85, 'tipo_disparo': 'deflected'}, {'id_team': 8560, 'id_jugador': 678234, 'min': 87, 'tipo_disparo': 'shot'}]",2
"Neto,R.Vezo,J.Murillo,M.Montoya,Toni Lato,D.Parejo,Jose Gaya,G.Kondogbia,C.Soler,S.Zaza,Rodrigo,Jaume,N.Maksimovic,A.Medran,S.Mina,J.Jimenez,N.Vidal,Nacho Gil","176186,318526,301456,213688,674518,75307,391058,214972,708890,166595,193869,489240,495962,523390,428947,797369,640238,639136",,,VAL,Valencia,2,10267,"[{'id_team': 10267, 'id_jugador': 213688, 'min': 49, 'tarjeta': 'y'}, {'id_team': 8633, 'id_jugador': 213499, 'min': 53, 'tarjeta': 'y'}, {'id_team': 8633, 'id_jugador': 208494, 'min': 61, 'tarjeta': 'y'}, {'id_team': 10267, 'id_jugador': 75307, 'min': 66, 'tarjeta': 'y'}, {'id_team': 8633, 'id_jugador': 282674, 'min': 72, 'tarjeta': 'y'}, {'id_team': 10267, 'id_jugador': 193869, 'min': 81, 'tarjeta': 'y'}, {'id_team': 10267, 'id_jugador': 708890, 'min': 84, 'tarjeta': 'y'}, {'id_team': 10267, 'id_jugador': 166595, 'min': 90, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-27 21:15,foulcommit,"[{'id_team': 8633, 'min': 10, 'comment': 'n', 'id_player': 498033, 'type_goal': 'n'}, {'id_team': 10267, 'min': 18, 'comment': 'n', 'id_player': 708890, 'type_goal': 'n'}, {'id_team': 10267, 'min': 77, 'comment': 'n', 'id_player': 214972, 'type_goal': 'n'}, {'id_team': 8633, 'min': 83, 'comment': 'n', 'id_player': 498033, 'type_goal': 'n'}]","K. Navas,D. Carvajal,N.Fernandez,Marcelo,Casemiro,T. Kroos,L. Modric,Isco,K. Benzema,G.Bale,M.Asensio,F.Casilla,T.Hernandez,L.Vazquez,M.Llorente,B.Mayoral,M. Kovacic,D.Ceballos","51949,282674,213499,28467,208494,95078,31097,191315,26166,31921,498033,40672,724371,359193,602563,635772,239219,531629",,,REA,Real Madrid,2,8633,Spain Primera Division,2580550,"[{'home_pos_prom': 63.10526315789474, 'away_pos_prom': 36.89473684210526}]",2017/2018,shotoff,"[{'id_team': 10267, 'id_jugador': 391058, 'min': 26, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8633, 'id_jugador': 26166, 'min': 37, 'tipo_disparo': 'big chance shot'}, {'id_team': 8633, 'id_jugador': 208494, 'min': 51, 'tipo_disparo': 'distance'}, {'id_team': 8633, 'id_jugador': 31097, 'min': 67, 'tipo_disparo': 'big chance shot'}, {'id_team': 10267, 'id_jugador': 75307, 'min': 73, 'tipo_disparo': 'direct_freekick'}, {'id_team': 8633, 'id_jugador': 498033, 'min': 81, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8633, 'id_jugador': 498033, 'min': 88, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10267, 'id_jugador': 166595, 'min': 90, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8633, 'id_jugador': 26166, 'min': 90, 'tipo_disparo': 'big chance header'}]",2
"M.ter Stegen,G. Pique,J. Alba,S.Roberto,S.Umtiti,I. Rakitic,S. Busquets,A. Iniesta,G. Deulofeu,A.Vidal,L. Messi,N.Semedo,D.Suarez,J. Cillessen,J. Mascherano,Paulinho,F.Alcacer,L. Digne","184554,37482,150739,212472,210117,25773,154257,30955,251925,189192,30981,470834,282281,212512,38818,114971,241825,210111",,,BAR,Barcelona,2,8634,"[{'id_team': 8634, 'id_jugador': 210117, 'min': 32, 'tarjeta': 'y'}, {'id_team': 9866, 'id_jugador': 150872, 'min': 36, 'tarjeta': 'y'}, {'id_team': 9866, 'id_jugador': 244963, 'min': 38, 'tarjeta': 'y'}, {'id_team': 8634, 'id_jugador': 212472, 'min': 41, 'tarjeta': 'y'}, {'id_team': 8634, 'id_jugador': 37482, 'min': 45, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-26 17:15,foulcommit,"[{'id_team': 8634, 'min': 39, 'comment': 'npm', 'id_player': 30981, 'type_goal': 'npm'}, {'id_team': 8634, 'min': 55, 'comment': 'n', 'id_player': 30981, 'type_goal': 'n'}, {'id_team': 8634, 'min': 66, 'comment': 'n', 'id_player': 30981, 'type_goal': 'n'}]","F.Pacheco,C.Vigaray,Alexis,R.Ely,A.Pedraza,O.Romero,I.Gomez,T.Pina,M.Garcia,M. Wakaso,R.Sobrino,R.Duarte,G.Maripan,C.Santos,A.Sivera,Burgui,D.Torres,E.Zidane","241059,518240,37479,244963,629594,274528,213470,193978,150630,150872,359195,358138,402830,288349,530468,452243,207474,629575",,,ALA,Alaves,0,9866,Spain Primera Division,2580554,"[{'home_pos_prom': 29.7, 'away_pos_prom': 70.3}]",2017/2018,shotoff,"[{'id_team': 8634, 'id_jugador': 251925, 'min': 4, 'tipo_disparo': 'header'}, {'id_team': 8634, 'id_jugador': 251925, 'min': 5, 'tipo_disparo': 'distance'}, {'id_team': 8634, 'id_jugador': 25773, 'min': 7, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8634, 'id_jugador': 30981, 'min': 9, 'tipo_disparo': 'distance'}, {'id_team': 8634, 'id_jugador': 30955, 'min': 16, 'tipo_disparo': 'distance'}, {'id_team': 8634, 'id_jugador': 30981, 'min': 23, 'tipo_disparo': 'shot'}, {'id_team': 9866, 'id_jugador': 359195, 'min': 31, 'tipo_disparo': 'big chance shot'}, {'id_team': 9866, 'id_jugador': 213470, 'min': 34, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9866, 'id_jugador': 274528, 'min': 34, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8634, 'id_jugador': 37482, 'min': 35, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8634, 'id_jugador': 30981, 'min': 44, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8634, 'id_jugador': 251925, 'min': 45, 'tipo_disparo': 'shot'}, {'id_team': 8634, 'id_jugador': 30981, 'min': 53, 'tipo_disparo': 'direct_freekick'}, {'id_team': 9866, 'id_jugador': 213470, 'min': 66, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9866, 'id_jugador': 274528, 'min': 69, 'tipo_disparo': 'direct_freekick'}, {'id_team': 9866, 'id_jugador': 452243, 'min': 72, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8634, 'id_jugador': 282281, 'min': 81, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8634, 'id_jugador': 241825, 'min': 86, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8634, 'id_jugador': 37482, 'min': 90, 'tipo_disparo': 'blocked_shot'}]",2
"I.Cuellar,M.Mantovani,D.Rico,E.Munoz,J.Zaldua,Gabriel,A.Szymanowski,J.Eraso,R.Perez,J.Omar,Guerrero,Tito,E.Moran,G.Gumbau,N.El Zhar,M.Dos Santos,N.Champagne,L.Miramar Rocha","33630,208096,488718,164029,485141,394585,358654,573793,2805,75376,206301,183449,411616,522234,46621,113311,18721,873576",,,LEG,Leganes,1,7854,"[{'id_team': 8558, 'id_jugador': 265275, 'min': 49, 'tarjeta': 'y'}, {'id_team': 8558, 'id_jugador': 41156, 'min': 52, 'tarjeta': 'y'}, {'id_team': 8558, 'id_jugador': 88986, 'min': 59, 'tarjeta': 'y'}, {'id_team': 7854, 'id_jugador': 573793, 'min': 73, 'tarjeta': 'y'}, {'id_team': 7854, 'id_jugador': 488718, 'min': 79, 'tarjeta': 'y'}, {'id_team': 7854, 'id_jugador': 522234, 'min': 90, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-27 17:15,foulcommit,"[{'id_team': 7854, 'min': 28, 'comment': 'n', 'id_player': 208096, 'type_goal': 'n'}]","P.Lopez,A.Caricol,Naldo,D.Lopez,J.Lopez,J.Jurado,H.Perez,J.Fuego,P.Piatti,G.Moreno,Leo Baptistao,S.Garcia,D.Lopez,O.Melendo,P.Diop,M.Hermoso,E.Granero,M.Roca","532942,684981,265275,215584,185123,37411,88986,74747,46384,246438,358127,38578,41466,802987,46836,671203,41156,640220",,,ESP,Espanyol,0,8558,Spain Primera Division,2580555,"[{'home_pos_prom': 56.75, 'away_pos_prom': 43.25}]",2017/2018,shotoff,"[{'id_team': 7854, 'id_jugador': 75376, 'min': 8, 'tipo_disparo': 'distance'}, {'id_team': 7854, 'id_jugador': 358654, 'min': 13, 'tipo_disparo': 'header'}, {'id_team': 7854, 'id_jugador': 394585, 'min': 22, 'tipo_disparo': 'distance'}, {'id_team': 7854, 'id_jugador': 573793, 'min': 24, 'tipo_disparo': 'distance'}, {'id_team': 7854, 'id_jugador': 358654, 'min': 27, 'tipo_disparo': 'blocked_shot'}, {'id_team': 7854, 'id_jugador': 394585, 'min': 28, 'tipo_disparo': 'big chance header'}, {'id_team': 7854, 'id_jugador': 573793, 'min': 28, 'tipo_disparo': 'big chance shot'}, {'id_team': 8558, 'id_jugador': 46384, 'min': 42, 'tipo_disparo': 'blocked_shot'}, {'id_team': 7854, 'id_jugador': 206301, 'min': 50, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8558, 'id_jugador': 684981, 'min': 52, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8558, 'id_jugador': 358127, 'min': 68, 'tipo_disparo': 'shot'}, {'id_team': 8558, 'id_jugador': 41156, 'min': 68, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8558, 'id_jugador': 41156, 'min': 77, 'tipo_disparo': 'direct_freekick'}, {'id_team': 8558, 'id_jugador': 41156, 'min': 82, 'tipo_disparo': 'header'}, {'id_team': 8558, 'id_jugador': 46384, 'min': 90, 'tipo_disparo': 'blocked_shot'}, {'id_team': 7854, 'id_jugador': 522234, 'min': 90, 'tipo_disparo': 'big chance shot'}]",2
"Roberto,L.Hernandez,Juankar,R.Rosales,P.Baysse,Z.Kuzmanovic,A.Gonzalez,Juanpi,J.Recio,Mula,B.Baston,D.Gonzalez,M.Cifu,C.Gonen,J.Ontiveros,E.Cecchini,Jony,Y.En-Nesyri","37623,384374,215927,104382,39965,25772,40501,573463,238841,814891,200917,684723,246208,95868,696449,560954,541557,788555",,,MAL,Malaga,0,9864,"[{'id_team': 7732, 'id_jugador': 573752, 'min': 22, 'tarjeta': 'y'}, {'id_team': 7732, 'id_jugador': 33764, 'min': 55, 'tarjeta': 'y'}, {'id_team': 7732, 'id_jugador': 173382, 'min': 56, 'tarjeta': 'y'}, {'id_team': 9864, 'id_jugador': 696449, 'min': 58, 'tarjeta': 'y'}, {'id_team': 9864, 'id_jugador': 238841, 'min': 63, 'tarjeta': 'y'}, {'id_team': 9864, 'id_jugador': 560954, 'min': 64, 'tarjeta': 'y'}, {'id_team': 9864, 'id_jugador': 814891, 'min': 90, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-26 19:15,foulcommit,"[{'id_team': 7732, 'min': 28, 'comment': 'n', 'id_player': 183454, 'type_goal': 'n'}, {'id_team': 7732, 'min': 62, 'comment': 'dg', 'id_player': 282692, 'type_goal': 'dg'}]","G.Iraizoz Moreno,Bernardo,P.Alcala,M.Muniesa,A.Granell,P.Pons Riera,C.Portu,Aday,B.Garcia,P.Maffeo,C. Stuani,J.Mojica,J.Ramalho,Douglas Soares,Y.Bounou,Juanpe,M.Moreno,O.Kayode","33764,150764,183454,173382,573752,391408,282692,301543,175305,673356,58294,474673,191140,787350,340020,174862,677249,306071",,,GIR,Girona,1,7732,Spain Primera Division,2580558,"[{'home_pos_prom': 54.10526315789474, 'away_pos_prom': 45.89473684210526}]",2017/2018,shotoff,"[{'id_team': 7732, 'id_jugador': 150764, 'min': 20, 'tipo_disparo': 'blocked_header'}, {'id_team': 7732, 'id_jugador': 58294, 'min': 24, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9864, 'id_jugador': 200917, 'min': 27, 'tipo_disparo': 'distance'}, {'id_team': 7732, 'id_jugador': 282692, 'min': 28, 'tipo_disparo': 'big chance shot'}, {'id_team': 7732, 'id_jugador': 282692, 'min': 34, 'tipo_disparo': 'blocked_shot'}, {'id_team': 7732, 'id_jugador': 301543, 'min': 52, 'tipo_disparo': 'shot'}, {'id_team': 9864, 'id_jugador': 541557, 'min': 69, 'tipo_disparo': 'shot'}, {'id_team': 7732, 'id_jugador': 787350, 'min': 83, 'tipo_disparo': 'distance'}, {'id_team': 9864, 'id_jugador': 200917, 'min': 90, 'tipo_disparo': 'big chance blocked'}, {'id_team': 9864, 'id_jugador': 788555, 'min': 90, 'tipo_disparo': 'blocked_shot'}]",2
"M.Dmitrovic,I.Ramis,A.Capa,P.Oliveira,Jose Angel,T.Inui,R.Pena,Dani Garcia,J.Jordan,Kike,Charles,A.Galvez,C.Rivera,S.Enrich,Bebé,A.Riesgo,Ivi,D.Junca","280818,33856,449492,193927,162497,97762,364239,433311,574662,183353,213653,303484,671945,193224,210065,33958,640089,246218",,,EIB,Eibar,1,8372,"[{'id_team': 8372, 'id_jugador': 213653, 'min': 3, 'tarjeta': 'y'}, {'id_team': 8372, 'id_jugador': 183353, 'min': 32, 'tarjeta': 'y'}, {'id_team': 9864, 'id_jugador': 684723, 'min': 45, 'tarjeta': 'y'}, {'id_team': 8372, 'id_jugador': 640089, 'min': 83, 'tarjeta': 'y'}, {'id_team': 9864, 'id_jugador': 541557, 'min': 90, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-21 21:00,foulcommit,"[{'id_team': 8372, 'min': 57, 'comment': 'n', 'id_player': 213653, 'type_goal': 'n'}]","Roberto,D.Gonzalez,L.Hernandez,R.Rosales,P.Baysse,Z.Kuzmanovic,Juankar,A.Gonzalez,Juanpi,J.Recio,B.Baston,M.Cifu,Jony,A.Prieto,Y.En-Nesyri,Mula,J.Sanchez,J.Ontiveros","37623,684723,384374,104382,39965,25772,215927,40501,573463,238841,200917,246208,541557,441179,788555,814891,874332,696449",,,MAL,Malaga,0,9864,Spain Primera Division,2580540,"[{'home_pos_prom': 47.77777777777778, 'away_pos_prom': 52.22222222222222}]",2017/2018,shotoff,"[{'id_team': 8372, 'id_jugador': 213653, 'min': 18, 'tipo_disparo': 'shot'}, {'id_team': 8372, 'id_jugador': 213653, 'min': 20, 'tipo_disparo': 'shot'}, {'id_team': 9864, 'id_jugador': 25772, 'min': 25, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9864, 'id_jugador': 573463, 'min': 31, 'tipo_disparo': 'shot'}, {'id_team': 8372, 'id_jugador': 97762, 'min': 34, 'tipo_disparo': 'distance'}, {'id_team': 8372, 'id_jugador': 213653, 'min': 42, 'tipo_disparo': 'header'}, {'id_team': 8372, 'id_jugador': 574662, 'min': 50, 'tipo_disparo': 'distance'}, {'id_team': 8372, 'id_jugador': 183353, 'min': 53, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8372, 'id_jugador': 574662, 'min': 54, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9864, 'id_jugador': 200917, 'min': 64, 'tipo_disparo': 'distance'}, {'id_team': 9864, 'id_jugador': 215927, 'min': 64, 'tipo_disparo': 'distance'}, {'id_team': 8372, 'id_jugador': 433311, 'min': 69, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9864, 'id_jugador': 25772, 'min': 72, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8372, 'id_jugador': 97762, 'min': 78, 'tipo_disparo': 'shot'}, {'id_team': 9864, 'id_jugador': 200917, 'min': 82, 'tipo_disparo': 'shot'}]",1
"J.Oblak,D. Godin,S. Vrsaljko,L.Hernandez,J. Gimenez,Thomas,Koke,S.Niguez,Y.Ferreira-Carrasco,A.Correa,L.Vietto,M.Moya,Filipe Luis,F. Torres,Gabi,S.Savic,Juanfran,K.Gameiro","177126,56678,178120,504606,474589,434325,184533,309334,354467,432950,294003,33845,41167,30853,33635,178955,38424,26392",,,AMA,Atletico Madrid,5,9906,"[{'id_team': 8306, 'id_jugador': 243781, 'min': 14, 'tarjeta': 'y'}, {'id_team': 8306, 'id_jugador': 291635, 'min': 24, 'tarjeta': 'y'}, {'id_team': 9906, 'id_jugador': 294003, 'min': 39, 'tarjeta': 'y'}, {'id_team': 8306, 'id_jugador': 873585, 'min': 39, 'tarjeta': 'y'}, {'id_team': 8306, 'id_jugador': 213729, 'min': 62, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-26 21:15,foulcommit,"[{'id_team': 9906, 'min': 3, 'comment': 'n', 'id_player': 432950, 'type_goal': 'n'}, {'id_team': 9906, 'min': 5, 'comment': 'n', 'id_player': 354467, 'type_goal': 'n'}, {'id_team': 8306, 'min': 58, 'comment': 'n', 'id_player': 469295, 'type_goal': 'n'}, {'id_team': 9906, 'min': 62, 'comment': 'n', 'id_player': 184533, 'type_goal': 'n'}, {'id_team': 9906, 'min': 75, 'comment': 'n', 'id_player': 184533, 'type_goal': 'n'}, {'id_team': 8306, 'min': 81, 'comment': 'npm', 'id_player': 213729, 'type_goal': 'npm'}, {'id_team': 9906, 'min': 88, 'comment': 'n', 'id_player': 434325, 'type_goal': 'n'}]","L.Chichizola,D.Simon,M.Lemos,P.Bigas,D.Castellano,Hernan Santana,J.Viera,F.Gonzalez,J.Calleri,Momo,Tana,R.Lizoain,S.Araujo,Michel,B.Herrera,J.Castellano,X.Navarro,Benito","163805,358339,643570,291635,183497,243781,213729,873585,469295,37510,484906,477498,190669,150316,640111,128721,260659,780311",,,LAS,Las Palmas,1,8306,Spain Primera Division,2580559,"[{'home_pos_prom': 55.7, 'away_pos_prom': 44.3}]",2017/2018,shotoff,"[{'id_team': 8306, 'id_jugador': 213729, 'min': 23, 'tipo_disparo': 'distance'}, {'id_team': 9906, 'id_jugador': 184533, 'min': 51, 'tipo_disparo': 'distance'}, {'id_team': 8306, 'id_jugador': 643570, 'min': 53, 'tipo_disparo': 'direct_freekick'}, {'id_team': 8306, 'id_jugador': 190669, 'min': 76, 'tipo_disparo': 'blocked_shot'}]",2
"R.Martinez,Juanfran,Sidnei,Luisinho,F. Schaer,P.Mosquera,E.Colak,F.Cartabia,Z. Bakkali,Guilherme,F.Andone,P.Tyton,F.Navarro,A.Arribas,A.Lopez,F.Valverde,Bruno Gama,C. Borges","37656,103905,121872,115519,189982,40668,185770,474680,432463,267863,599425,68813,33848,191906,45744,743533,43294,51953",,,COR,Deportivo La Coruna,2,9783,"[{'id_team': 9783, 'id_jugador': 115519, 'min': 11, 'tarjeta': 'y'}, {'id_team': 9783, 'id_jugador': 474680, 'min': 56, 'tarjeta': 'y'}, {'id_team': 8581, 'id_jugador': 477472, 'min': 68, 'tarjeta': 'y'}, {'id_team': 8581, 'id_jugador': 477472, 'min': 76, 'tarjeta': 'y2'}]",corner,Spain,cross,2017-08-26 19:15,foulcommit,"[{'id_team': 9783, 'min': 5, 'comment': 'n', 'id_player': 474680, 'type_goal': 'n'}, {'id_team': 9783, 'min': 31, 'comment': 'n', 'id_player': 121872, 'type_goal': 'n'}, {'id_team': 8581, 'min': 35, 'comment': 'n', 'id_player': 592783, 'type_goal': 'n'}, {'id_team': 8581, 'min': 83, 'comment': 'p', 'id_player': 530460, 'type_goal': 'p'}]","R.Fernandez,I.Lopez,Tono,Chema,S.Postigo,J.Lerma,E.Bardhi,J.Morales,Jason,J.Campana,A.Alegria,S.Lukic,C.Doukoure,O.Olazabal,I.Lopez,P.Lopez,E.Boateng,A.Luna","96618,287691,184091,491685,303224,466672,592783,477472,451984,213502,610537,556972,186153,101590,530460,37597,561219,202553",,,LEV,Levante,2,8581,Spain Primera Division,2580551,"[{'home_pos_prom': 62.05555555555556, 'away_pos_prom': 37.94444444444444}]",2017/2018,shotoff,"[{'id_team': 8581, 'id_jugador': 491685, 'min': 3, 'tipo_disparo': 'blocked_header'}, {'id_team': 8581, 'id_jugador': 477472, 'min': 6, 'tipo_disparo': 'shot'}, {'id_team': 8581, 'id_jugador': 466672, 'min': 9, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8581, 'id_jugador': 451984, 'min': 14, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9783, 'id_jugador': 267863, 'min': 20, 'tipo_disparo': 'deflected'}, {'id_team': 8581, 'id_jugador': 451984, 'min': 27, 'tipo_disparo': 'distance'}, {'id_team': 8581, 'id_jugador': 592783, 'min': 30, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8581, 'id_jugador': 184091, 'min': 37, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9783, 'id_jugador': 474680, 'min': 64, 'tipo_disparo': 'shot'}, {'id_team': 8581, 'id_jugador': 451984, 'min': 71, 'tipo_disparo': 'big chance shot'}, {'id_team': 9783, 'id_jugador': 115519, 'min': 79, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9783, 'id_jugador': 103905, 'min': 90, 'tipo_disparo': 'blocked_shot'}]",2
"S.Rico,S.Kjaer,S.Escudero,N.Pareja,G. Mercado,M.Krohn-Dehli,G.Pizarro,J. Navas,Paulo Ganso,Nolito,W.Ben Yedder,S.Corchia,C.Lenglet,W.Montoya,J.Correa,P.Sarabia,L. Muriel,J.Soriano","300532,35112,209950,38385,113668,39215,188116,33991,127400,213486,210184,165583,488412,467968,319631,240054,196484,582878",,,SEV,Sevilla,1,8302,"[{'id_team': 8302, 'id_jugador': 240054, 'min': 75, 'tarjeta': 'y'}]",corner,Spain,cross,2017-08-27 19:15,foulcommit,"[{'id_team': 8302, 'min': 83, 'comment': 'n', 'id_player': 127400, 'type_goal': 'n'}]","V.Guaita,Djene,Antunes,Cala,D.Suarez,M.Bergara,M.Arambarri,F.Fajr,Amath,G.Shibasaki,J.Molina,E.Martinez,B.Gonzalez,A.Rodriguez,Chuli,F.Portillo,S.Mora,F.Molinero","109222,421365,45244,112205,195335,102622,625340,279173,737444,262394,2983,268375,268273,41292,319055,193226,213826,38064",,,GET,Getafe,0,8305,Spain Primera Division,2580556,"[{'home_pos_prom': 48.526315789473685, 'away_pos_prom': 51.473684210526315}]",2017/2018,shotoff,"[{'id_team': 8305, 'id_jugador': 2983, 'min': 10, 'tipo_disparo': 'header'}, {'id_team': 8302, 'id_jugador': 113668, 'min': 15, 'tipo_disparo': 'header'}, {'id_team': 8305, 'id_jugador': 2983, 'min': 21, 'tipo_disparo': 'distance'}, {'id_team': 8305, 'id_jugador': 2983, 'min': 38, 'tipo_disparo': 'big chance shot'}, {'id_team': 8305, 'id_jugador': 279173, 'min': 42, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8305, 'id_jugador': 2983, 'min': 85, 'tipo_disparo': 'big chance shot'}, {'id_team': 8305, 'id_jugador': 41292, 'min': 90, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8302, 'id_jugador': 196484, 'min': 90, 'tipo_disparo': 'big chance shot'}]",2
